keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
covid-outbreak,20,-0.14,0.55,0.76,0.82
covid-pandemic,20,-0.14,0.55,0.76,0.84
covid-period,33,-0.03,0.67,0.59,0.96
covid-recession,20,-0.14,0.55,0.61,0.91
covid-related,20,-0.14,0.55,0.52,0.90
covid-resurgence,20,-0.14,0.55,0.70,0.88
covid-scare,39,-0.17,0.41,0.57,0.99
covid-situation,20,-0.14,0.55,0.69,0.82
covid-strain,20,-0.14,0.55,0.53,0.87
covid-variant,20,-0.14,0.55,0.62,0.86
covid-year,39,-0.17,0.41,0.64,0.87
cpi,13,-0.20,0.50,0.51,0.95
crammed,16,-0.21,0.42,0.62,0.84
crash,7,-0.19,0.45,0.54,0.99
crater,29,-0.12,0.59,0.52,0.98
crease,34,-0.17,0.50,0.53,0.96
create,26,-0.14,0.56,0.67,0.87
creative,19,-0.17,0.51,0.59,0.88
creative-design,19,-0.17,0.51,0.53,0.95
credible,21,-0.18,0.50,0.52,0.92
credit-card,9,-0.15,0.55,0.53,0.95
creditor,2,-0.20,0.46,0.63,0.91
creeping,16,-0.21,0.42,0.59,0.91
crete,38,-0.14,0.48,0.64,0.94
crew,9,-0.15,0.55,0.58,0.98
crewed,0,-0.11,0.56,0.55,0.92
crewed-aircraft,0,-0.11,0.56,0.68,0.79
crew-member,5,-0.19,0.44,0.71,0.98
crewmember,5,-0.19,0.44,0.64,0.93
cricket,34,-0.17,0.50,0.51,0.95
cripple,26,-0.14,0.56,0.64,0.84
crisis,20,-0.14,0.55,0.67,0.88
critic,31,-0.17,0.48,0.56,0.96
critical,21,-0.18,0.50,0.62,0.97
critical-aspect,23,-0.16,0.52,0.51,0.93
critical-contributor,23,-0.16,0.52,0.58,0.88
critical-infrastructure,35,-0.17,0.47,0.62,0.95
critical-need,23,-0.16,0.52,0.53,0.93
critical-patient,5,-0.19,0.44,0.50,0.89
critical-period,23,-0.16,0.52,0.55,0.94
critical-role,23,-0.16,0.52,0.60,0.91
critical-time,23,-0.16,0.52,0.57,0.87
criticize,26,-0.14,0.56,0.56,0.88
crj-900,22,0.37,0.21,0.50,0.72
croatian,30,-0.13,0.56,0.72,0.80
crore,13,-0.20,0.50,0.60,0.89
cross-border-e-commerce,35,-0.17,0.47,0.55,0.98
cross-border-trade,35,-0.17,0.47,0.52,1.00
cross-border-travel,17,-0.17,0.48,0.59,0.96
cross-border-volume,25,-0.18,0.39,0.55,0.93
cross-industry,19,-0.17,0.51,0.54,0.98
crowd,34,-0.17,0.50,0.65,0.98
crowded,16,-0.21,0.42,0.67,0.93
crown,34,-0.17,0.50,0.54,0.95
crown-epidemic,20,-0.14,0.55,0.51,0.96
crucial,14,-0.13,0.58,0.60,0.99
crucial-role,23,-0.16,0.52,0.59,0.88
crucial-step,23,-0.16,0.52,0.69,0.78
crucial-time,23,-0.16,0.52,0.56,0.88
cruise,34,-0.17,0.50,0.66,0.97
cruise-flight,0,-0.11,0.56,0.63,0.87
cruise-line,36,-0.10,0.57,0.60,0.96
cruise-missile,0,-0.11,0.56,0.70,0.84
cruise-operator,36,-0.10,0.57,0.56,0.95
cruise-ship,17,-0.17,0.48,0.58,0.99
cruise-ship-passenger,5,-0.19,0.44,0.51,0.87
cruising,16,-0.21,0.42,0.56,0.96
crush,26,-0.14,0.56,0.62,0.90
crying,16,-0.21,0.42,0.52,0.97
csmia,36,-0.10,0.57,0.54,0.94
cta,18,-0.20,0.45,0.56,0.95
cuban,30,-0.13,0.56,0.73,0.74
cuban-regime,30,-0.13,0.56,0.51,0.92
culture,19,-0.17,0.51,0.61,0.85
curacao,38,-0.14,0.48,0.50,0.98
curb,26,-0.14,0.56,0.50,0.94
curriculum,19,-0.17,0.51,0.53,0.96
curtail,26,-0.14,0.56,0.63,0.88
custom-built,4,-0.17,0.43,0.53,0.91
customer,9,-0.15,0.55,0.57,0.94
customer-centric,19,-0.17,0.51,0.62,0.91
customer-centricity,19,-0.17,0.51,0.70,0.78
customer-demand,6,-0.14,0.54,0.57,0.92
customer-focus,19,-0.17,0.51,0.62,0.83
customer-income,25,-0.18,0.39,0.52,0.89
customer-need,4,-0.17,0.43,0.50,0.93
customer-satisfaction,19,-0.17,0.51,0.51,0.92
customer-service,19,-0.17,0.51,0.60,0.90
customised,21,-0.18,0.50,0.56,0.94
customizable,21,-0.18,0.50,0.60,0.91
customize,26,-0.14,0.56,0.54,0.92
customized,21,-0.18,0.50,0.58,0.91
cutting-edge,19,-0.17,0.51,0.65,0.88
cvg,36,-0.10,0.57,0.63,0.92
cwt,13,-0.20,0.50,0.58,0.89
cx,19,-0.17,0.51,0.55,0.95
cyber-resiliency,19,-0.17,0.51,0.60,0.92
cybersecurity,19,-0.17,0.51,0.66,0.89
cyclic,12,-0.15,0.52,0.56,0.92
czech,30,-0.13,0.56,0.76,0.76
daa,15,-0.18,0.43,0.52,0.94
dalaman,36,-0.10,0.57,0.59,0.97
damaging,32,-0.17,0.52,0.61,0.89
damp,12,-0.15,0.52,0.55,0.96
dampen,28,-0.19,0.48,0.63,0.97
danang,24,-0.16,0.46,0.63,0.96
dangerous,32,-0.17,0.52,0.70,0.85
dangriga,38,-0.14,0.48,0.62,0.95
daniel,31,-0.17,0.48,0.60,0.92
daniel-k,38,-0.14,0.48,0.52,0.88
danish,30,-0.13,0.56,0.64,0.88
dark,16,-0.21,0.42,0.57,0.96
darwin,38,-0.14,0.48,0.66,0.91
dash,12,-0.15,0.52,0.51,1.00
dassault-aviation,15,-0.18,0.43,0.60,0.95
data,18,-0.20,0.45,0.55,0.94
data-analytics,19,-0.17,0.51,0.68,0.86
database,18,-0.20,0.45,0.67,0.85
data-center,4,-0.17,0.43,0.56,0.95
data-collection,19,-0.17,0.51,0.51,0.98
data-communication,4,-0.17,0.43,0.60,0.95
data-exchange,4,-0.17,0.43,0.58,0.99
data-integration,19,-0.17,0.51,0.63,0.93
data-management,19,-0.17,0.51,0.67,0.89
data-relay,4,-0.17,0.43,0.55,0.92
dato,31,-0.17,0.48,0.50,0.90
datuk-seri,31,-0.17,0.48,0.55,0.95
daughter,9,-0.15,0.55,0.70,0.89
daunting,32,-0.17,0.52,0.53,0.95
david,31,-0.17,0.48,0.59,0.90
dawn,34,-0.17,0.50,0.56,0.94
day,34,-0.17,0.50,0.59,0.98
daytrips,17,-0.17,0.48,0.54,0.91
dc,38,-0.14,0.48,0.54,0.93
dc-dc-converter,4,-0.17,0.43,0.61,0.97
deadline,2,-0.20,0.46,0.51,0.95
deadlock,7,-0.19,0.45,0.53,0.93
deadly,32,-0.17,0.52,0.60,0.88
deadly-coronavirus,20,-0.14,0.55,0.71,0.78
deadly-coronavirus-outbreak,20,-0.14,0.55,0.67,0.85
deadly-disease,20,-0.14,0.55,0.63,0.84
deadly-novel-coronavirus,20,-0.14,0.55,0.57,0.87
deadly-virus,20,-0.14,0.55,0.68,0.84
debilitating,32,-0.17,0.52,0.55,0.89
debt,2,-0.20,0.46,0.51,0.97
debut,34,-0.17,0.50,0.50,0.92
decarbonisation,37,-0.11,0.58,0.69,0.90
decarbonise,37,-0.11,0.58,0.60,0.92
decarbonising,37,-0.11,0.58,0.62,0.86
decarbonization,37,-0.11,0.58,0.68,0.95
decarbonize,37,-0.11,0.58,0.59,0.93
decarbonizing,37,-0.11,0.58,0.63,0.86
decelerate,28,-0.19,0.48,0.63,0.91
deceleration,6,-0.14,0.54,0.71,0.92
december,33,-0.03,0.67,0.51,0.97
december-flight,39,-0.17,0.41,0.54,0.89
december-holiday,39,-0.17,0.41,0.56,0.87
decide,26,-0.14,0.56,0.66,0.82
decimate,26,-0.14,0.56,0.58,0.91
decimated,32,-0.17,0.52,0.52,0.94
decision,2,-0.20,0.46,0.56,0.96
decision-making,19,-0.17,0.51,0.63,0.85
deck,12,-0.15,0.52,0.55,0.97
declaration,2,-0.20,0.46,0.60,0.92
declare,26,-0.14,0.56,0.61,0.85
decline,28,-0.19,0.48,0.65,0.98
declining,28,-0.19,0.48,0.60,0.92
decouple,26,-0.14,0.56,0.63,0.87
decrease,28,-0.19,0.48,0.59,0.96
decreasing,28,-0.19,0.48,0.65,0.85
dedicate,26,-0.14,0.56,0.64,0.77
deep,12,-0.15,0.52,0.50,0.95
deepen,26,-0.14,0.56,0.61,0.89
defence-aerospace,35,-0.17,0.47,0.51,0.88
defence-equipment,35,-0.17,0.47,0.50,0.95
defence-industry,35,-0.17,0.47,0.63,0.92
defence-sector,35,-0.17,0.47,0.58,0.97
defence-security,35,-0.17,0.47,0.53,0.92
defend,26,-0.14,0.56,0.69,0.78
defendant,9,-0.15,0.55,0.50,0.98
defense-equipment,35,-0.17,0.47,0.52,0.95
defense-industry,35,-0.17,0.47,0.64,0.88
defense-manufacturing,35,-0.17,0.47,0.56,0.88
defense-market,10,-0.19,0.51,0.62,0.88
defense-sector,35,-0.17,0.47,0.63,0.95
defense-security,35,-0.17,0.47,0.52,0.88
defense-technology,35,-0.17,0.47,0.50,0.91
defer,26,-0.14,0.56,0.64,0.85
deferment,2,-0.20,0.46,0.63,0.84
deferral,2,-0.20,0.46,0.69,0.80
deficient,21,-0.18,0.50,0.54,0.97
define,26,-0.14,0.56,0.67,0.81
deforestation,37,-0.11,0.58,0.59,0.90
defy,26,-0.14,0.56,0.60,0.85
de-gaulle,30,-0.13,0.56,0.53,0.96
degradation,12,-0.15,0.52,0.52,0.97
degraded,32,-0.17,0.52,0.50,0.97
dei,19,-0.17,0.51,0.51,0.92
de-icing,0,-0.11,0.56,0.51,0.95
delay,7,-0.19,0.45,0.56,0.98
delayed-flight,17,-0.17,0.48,0.52,0.96
delegate,26,-0.14,0.56,0.50,0.99
delegation,30,-0.13,0.56,0.65,0.94
deliver,26,-0.14,0.56,0.67,0.86
delivery-driver,5,-0.19,0.44,0.62,0.94
delta,20,-0.14,0.55,0.52,0.99
delta-cargo,36,-0.10,0.57,0.51,0.97
delta-flight,17,-0.17,0.48,0.52,0.98
delta-mutation,20,-0.14,0.55,0.51,0.95
delta-variant,20,-0.14,0.55,0.77,0.84
deluge,20,-0.14,0.55,0.60,0.98
demand,6,-0.14,0.54,0.57,0.94
demand-recovery,6,-0.14,0.54,0.80,0.79
demand-revival,6,-0.14,0.54,0.74,0.76
demand-side,6,-0.14,0.54,0.55,0.96
demise,7,-0.19,0.45,0.54,0.90
democratic,30,-0.13,0.56,0.53,0.89
demographic-change,1,-0.19,0.31,0.53,0.95
demonstrate,26,-0.14,0.56,0.67,0.84
den,34,-0.17,0.50,0.60,0.97
density,12,-0.15,0.52,0.56,0.94
dent,28,-0.19,0.48,0.59,0.92
deny,26,-0.14,0.56,0.66,0.80
depart,26,-0.14,0.56,0.55,0.92
departing,17,-0.17,0.48,0.53,0.95
departing-flight,17,-0.17,0.48,0.51,0.94
department,2,-0.20,0.46,0.55,0.94
department-director,31,-0.17,0.48,0.55,0.84
department-head,31,-0.17,0.48,0.60,0.91
departure-date,17,-0.17,0.48,0.57,0.93
departure-point,17,-0.17,0.48,0.51,0.93
departures,17,-0.17,0.48,0.56,0.98
departure-time,17,-0.17,0.48,0.58,0.91
depend,26,-0.14,0.56,0.53,0.93
dependent,21,-0.18,0.50,0.52,0.95
deplorable,32,-0.17,0.52,0.65,0.80
deploy,26,-0.14,0.56,0.65,0.83
depress,28,-0.19,0.48,0.65,0.87
depressed,28,-0.19,0.48,0.63,0.96
deputy,31,-0.17,0.48,0.75,0.93
deputy-chairman,31,-0.17,0.48,0.58,0.82
deputy-director,31,-0.17,0.48,0.66,0.81
deputy-head,31,-0.17,0.48,0.52,0.89
derail,26,-0.14,0.56,0.62,0.87
derby,34,-0.17,0.50,0.64,0.88
derive,26,-0.14,0.56,0.52,0.89
describe,26,-0.14,0.56,0.61,0.85
design,19,-0.17,0.51,0.67,0.87
designate,26,-0.14,0.56,0.61,0.81
designing,19,-0.17,0.51,0.55,0.91
desired,21,-0.18,0.50,0.52,0.89
desk,9,-0.15,0.55,0.59,0.95
desperate,14,-0.13,0.58,0.69,0.84
desperation,7,-0.19,0.45,0.50,0.90
destabilized,32,-0.17,0.52,0.54,0.93
destin,38,-0.14,0.48,0.62,0.84
destination,17,-0.17,0.48,0.63,0.93
destined,14,-0.13,0.58,0.56,0.97
destroy,26,-0.14,0.56,0.71,0.76
destructive,32,-0.17,0.52,0.66,0.82
detect,26,-0.14,0.56,0.53,0.91
detectors-market,10,-0.19,0.51,0.58,0.84
deter,26,-0.14,0.56,0.63,0.81
deteriorate,28,-0.19,0.48,0.64,0.93
determine,26,-0.14,0.56,0.63,0.85
detour,17,-0.17,0.48,0.53,1.00
detrimental,32,-0.17,0.52,0.59,0.96
devaluation,28,-0.19,0.48,0.53,0.97
devastate,26,-0.14,0.56,0.52,0.93
devastated,32,-0.17,0.52,0.58,0.90
devastating,32,-0.17,0.52,0.71,0.81
devastating-blow,7,-0.19,0.45,0.55,0.96
devastating-coronavirus-pandemic,20,-0.14,0.55,0.53,0.97
devastating-covid-19-pandemic,20,-0.14,0.55,0.64,0.85
devastating-pandemic,20,-0.14,0.55,0.59,0.91
devastation,20,-0.14,0.55,0.58,0.95
develop,26,-0.14,0.56,0.62,0.94
developed-region,10,-0.19,0.51,0.55,0.91
developing,19,-0.17,0.51,0.61,0.90
developing-region,10,-0.19,0.51,0.58,0.96
development,19,-0.17,0.51,0.57,0.94
development-director,31,-0.17,0.48,0.54,0.88
device,18,-0.20,0.45,0.73,0.97
devise,26,-0.14,0.56,0.61,0.82
devote,26,-0.14,0.56,0.65,0.77
dfs,15,-0.18,0.43,0.54,0.86
dfw,38,-0.14,0.48,0.64,0.87
dg,31,-0.17,0.48,0.58,0.89
dgac,36,-0.10,0.57,0.51,0.95
dgca,36,-0.10,0.57,0.53,0.94
dgp,31,-0.17,0.48,0.55,0.92
dhl,15,-0.18,0.43,0.61,0.93
dia,15,-0.18,0.43,0.50,0.98
diagnostics,35,-0.17,0.47,0.52,0.99
diamond,12,-0.15,0.52,0.58,0.91
diesel,37,-0.11,0.58,0.67,0.83
diesel-consumption,37,-0.11,0.58,0.64,0.93
different,32,-0.17,0.52,0.51,0.99
different-airport,17,-0.17,0.48,0.53,0.95
different-destination,17,-0.17,0.48,0.51,0.96
different-driver,5,-0.19,0.44,0.50,0.92
different-equipment,4,-0.17,0.43,0.52,0.94
different-flight,17,-0.17,0.48,0.51,0.97
differentiated,21,-0.18,0.50,0.55,0.96
differentiation,19,-0.17,0.51,0.64,0.88
difficult,14,-0.13,0.58,0.73,0.81
difficult-pandemic-year,39,-0.17,0.41,0.58,0.84
difficult-time,23,-0.16,0.52,0.50,0.92
difficult-year,23,-0.16,0.52,0.55,0.93
digital,19,-0.17,0.51,0.66,0.87
digital-collaboration,19,-0.17,0.51,0.67,0.88
digital-covid-certificate,17,-0.17,0.48,0.50,0.94
digital-economy,19,-0.17,0.51,0.67,0.85
digital-first,19,-0.17,0.51,0.53,0.92
digital-health,19,-0.17,0.51,0.60,0.90
digital-id,18,-0.20,0.45,0.51,0.99
digitalisation,19,-0.17,0.51,0.73,0.83
digitalization,19,-0.17,0.51,0.76,0.82
digital-marketing,19,-0.17,0.51,0.64,0.86
digital-services,19,-0.17,0.51,0.67,0.88
digital-technology,19,-0.17,0.51,0.76,0.78
digital-thread,4,-0.17,0.43,0.61,0.95
digital-transformation,19,-0.17,0.51,0.78,0.79
digital-twin,4,-0.17,0.43,0.72,0.97
digital-version,18,-0.20,0.45,0.50,0.94
digitisation,19,-0.17,0.51,0.72,0.83
digitised,21,-0.18,0.50,0.57,0.88
digitization,19,-0.17,0.51,0.75,0.82
diminish,26,-0.14,0.56,0.65,0.93
diminished,28,-0.19,0.48,0.68,0.89
diminishing,28,-0.19,0.48,0.63,0.82
dinner,34,-0.17,0.50,0.69,0.93
dip,28,-0.19,0.48,0.53,0.98
diplomat,30,-0.13,0.56,0.73,0.88
diplomatic,30,-0.13,0.56,0.59,0.86
dire,32,-0.17,0.52,0.67,0.83
direct,26,-0.14,0.56,0.52,0.97
direct-air-capture,37,-0.11,0.58,0.53,0.97
direct-flight,17,-0.17,0.48,0.74,0.95
director,31,-0.17,0.48,0.53,0.91
director-general,31,-0.17,0.48,0.61,0.96
director-of-communication,31,-0.17,0.48,0.56,0.86
dire-need,23,-0.16,0.52,0.52,0.91
dirt,12,-0.15,0.52,0.65,0.89
disagreement,7,-0.19,0.45,0.52,0.93
disappear,26,-0.14,0.56,0.55,0.93
disappointed,32,-0.17,0.52,0.68,0.84
disappointing,32,-0.17,0.52,0.68,0.83
disarray,7,-0.19,0.45,0.56,0.93
disaster,20,-0.14,0.55,0.62,0.99
disaster-response,35,-0.17,0.47,0.54,0.89
disastrous,32,-0.17,0.52,0.66,0.86
discern,26,-0.14,0.56,0.60,0.81
disclose,26,-0.14,0.56,0.56,0.86
discount-airline,36,-0.10,0.57,0.65,0.84
discourage,26,-0.14,0.56,0.60,0.84
discover,26,-0.14,0.56,0.61,0.83
discretionary-spending,6,-0.14,0.54,0.55,0.89
discuss,26,-0.14,0.56,0.60,0.83
disease,20,-0.14,0.55,0.64,0.88
disease-outbreak,20,-0.14,0.55,0.73,0.80
disembark,17,-0.17,0.48,0.55,0.94
disgraceful,32,-0.17,0.52,0.59,0.88
disgruntlement,7,-0.19,0.45,0.53,0.89
disillusioned,32,-0.17,0.52,0.56,0.89
disinflation,6,-0.14,0.54,0.58,0.95
disintegrate,26,-0.14,0.56,0.53,0.98
dislocation,20,-0.14,0.55,0.53,0.99
dislodge,26,-0.14,0.56,0.57,0.90
disneyland,17,-0.17,0.48,0.56,0.97
dispatcher,5,-0.19,0.44,0.58,0.96
dispenser,12,-0.15,0.52,0.66,0.85
display,18,-0.20,0.45,0.53,0.96
disproportionate,32,-0.17,0.52,0.54,0.95
dispute,7,-0.19,0.45,0.51,0.98
disregard,26,-0.14,0.56,0.52,0.91
disrupt,26,-0.14,0.56,0.67,0.81
disruption,20,-0.14,0.55,0.62,0.93
disruptive,32,-0.17,0.52,0.61,0.99
dissipate,28,-0.19,0.48,0.53,0.98
dissolve,26,-0.14,0.56,0.61,0.85
distance,9,-0.15,0.55,0.50,0.97
distinguish,26,-0.14,0.56,0.65,0.78
distorted,32,-0.17,0.52,0.55,0.94
distract,26,-0.14,0.56,0.62,0.83
distribute,26,-0.14,0.56,0.57,0.84
distribution,35,-0.17,0.47,0.53,0.94
distribution-infrastructure,35,-0.17,0.47,0.57,0.98
district,29,-0.12,0.59,0.53,0.94
district-resident,5,-0.19,0.44,0.53,0.87
disturbing,32,-0.17,0.52,0.68,0.81
diverse,19,-0.17,0.51,0.59,0.91
diversification,19,-0.17,0.51,0.62,0.89
diversify,26,-0.14,0.56,0.52,0.94
diversity,19,-0.17,0.51,0.66,0.82
divert,26,-0.14,0.56,0.63,0.81
dnata,36,-0.10,0.57,0.62,0.95
do,26,-0.14,0.56,0.51,0.95
do-228,0,-0.11,0.56,0.57,0.97
dock,34,-0.17,0.50,0.56,0.97
document,18,-0.20,0.45,0.51,0.93
dog,9,-0.15,0.55,0.82,0.79
domain,18,-0.20,0.45,0.63,0.86
domestic,35,-0.17,0.47,0.62,0.89
domestic-air,17,-0.17,0.48,0.53,0.95
domestic-air-freight,22,0.37,0.21,0.51,0.76
domestic-airline,36,-0.10,0.57,0.70,0.81
domestic-airlines,36,-0.10,0.57,0.66,0.90
domestic-air-passenger-traffic,25,-0.18,0.39,0.59,0.92
domestic-airport,38,-0.14,0.48,0.61,0.94
domestic-airspace,22,0.37,0.21,0.54,0.85
domestic-air-traffic,6,-0.14,0.54,0.61,0.97
domestic-air-travel,6,-0.14,0.54,0.62,0.96
domestic-aviation,25,-0.18,0.39,0.54,0.95
domestic-business-travel,6,-0.14,0.54,0.53,0.99
domestic-carrier,36,-0.10,0.57,0.67,0.82
domestic-consumption,6,-0.14,0.54,0.68,0.91
domestic-flight,17,-0.17,0.48,0.66,0.92
domestic-flights,17,-0.17,0.48,0.73,0.98
domestic-leisure-travel,6,-0.14,0.54,0.54,0.90
domestic-passenger,22,0.37,0.21,0.55,0.89
domestic-passenger-traffic,6,-0.14,0.54,0.56,0.96
domestic-recovery,6,-0.14,0.54,0.62,0.85
domestic-route,36,-0.10,0.57,0.72,0.87
domestic-schedule,36,-0.10,0.57,0.54,0.95
domestic-terminal,38,-0.14,0.48,0.63,0.93
domestic-tourism,6,-0.14,0.54,0.70,0.84
domestic-traffic,6,-0.14,0.54,0.59,0.92
domestic-transport,35,-0.17,0.47,0.52,0.95
domestic-travel,6,-0.14,0.54,0.69,0.92
domestic-trip,17,-0.17,0.48,0.50,0.97
dominant-carrier,36,-0.10,0.57,0.55,0.90
dominate,26,-0.14,0.56,0.56,0.89
domino-effect,7,-0.19,0.45,0.60,0.90
donate,26,-0.14,0.56,0.55,0.85
donbass,30,-0.13,0.56,0.62,0.87
donor,5,-0.19,0.44,0.59,0.93
door,9,-0.15,0.55,0.61,0.91
dormitory,38,-0.14,0.48,0.52,0.95
double-daily,36,-0.10,0.57,0.52,0.99
double-digit-cagr,10,-0.19,0.51,0.51,0.92
double-taxation,2,-0.20,0.46,0.50,0.90
doubt,32,-0.17,0.52,0.51,0.94
douglas,38,-0.14,0.48,0.67,0.82
downfall,7,-0.19,0.45,0.56,0.90
download-pdf-brochure,10,-0.19,0.51,0.54,0.91
downtown,29,-0.12,0.59,0.59,0.93
downtown-area,29,-0.12,0.59,0.60,0.90
downturn,6,-0.14,0.54,0.70,0.95
doyle,31,-0.17,0.48,0.53,0.95
dr,31,-0.17,0.48,0.71,0.83
draconian,32,-0.17,0.52,0.57,0.90
dragon,34,-0.17,0.50,0.55,0.93
dramatic,32,-0.17,0.52,0.62,0.89
drastic,32,-0.17,0.52,0.55,0.95
drastic-move,7,-0.19,0.45,0.52,0.94
draw,26,-0.14,0.56,0.62,0.84
dreadful,32,-0.17,0.52,0.70,0.89
dream,34,-0.17,0.50,0.53,0.94
dreamliner,36,-0.10,0.57,0.72,0.94
dreamliner-aircraft,36,-0.10,0.57,0.62,0.91
dreamliners,36,-0.10,0.57,0.64,0.93
drink,9,-0.15,0.55,0.64,0.91
drinks,9,-0.15,0.55,0.55,0.94
drive,26,-0.14,0.56,0.62,0.89
driver,9,-0.15,0.55,0.74,0.82
driving-force,23,-0.16,0.52,0.70,0.81
drone,0,-0.11,0.56,0.74,0.92
drone-based,4,-0.17,0.43,0.54,0.99
drones,0,-0.11,0.56,0.65,0.92
drones-market,10,-0.19,0.51,0.60,0.83
drone-technology,35,-0.17,0.47,0.52,0.99
drop,28,-0.19,0.48,0.56,0.96
dubbo,38,-0.14,0.48,0.60,0.88
dube,31,-0.17,0.48,0.55,0.85
dubois,38,-0.14,0.48,0.55,0.96
dubrovnik,17,-0.17,0.48,0.62,0.97
ducting,12,-0.15,0.52,0.58,0.91
duke,34,-0.17,0.50,0.55,0.95
dulles,38,-0.14,0.48,0.60,0.90
dumb,32,-0.17,0.52,0.54,0.95
dump,26,-0.14,0.56,0.53,0.95
duqm,24,-0.16,0.46,0.66,0.89
durability,12,-0.15,0.52,0.52,0.96
dushyant,31,-0.17,0.48,0.54,0.85
dutch,30,-0.13,0.56,0.70,0.80
dutch-airline,36,-0.10,0.57,0.74,0.81
dutch-carrier,36,-0.10,0.57,0.66,0.82
duterte,30,-0.13,0.56,0.60,0.95
duterte-administration,30,-0.13,0.56,0.52,0.94
duty-free-shopping,17,-0.17,0.48,0.61,0.87
dwight-d,38,-0.14,0.48,0.53,0.87
dwindle,28,-0.19,0.48,0.59,0.86
dxb,36,-0.10,0.57,0.59,0.94
dye,12,-0.15,0.52,0.65,0.79
dynamic,19,-0.17,0.51,0.62,0.87
dynamic-capacity,4,-0.17,0.43,0.50,0.92
e15,37,-0.11,0.58,0.52,0.91
e85,37,-0.11,0.58,0.53,0.93
eagle,38,-0.14,0.48,0.60,0.94
earlier-flight,11,-0.18,0.46,0.51,0.94
earth,29,-0.12,0.59,0.59,0.93
easa,0,-0.11,0.56,0.52,0.98
ease,26,-0.14,0.56,0.55,0.92
eased,28,-0.19,0.48,0.54,0.94
easier,14,-0.13,0.58,0.58,0.90
easily,12,-0.15,0.52,0.51,1.00
easing,6,-0.14,0.54,0.51,0.99
east,29,-0.12,0.59,0.71,0.83
east-coast,29,-0.12,0.59,0.70,0.81
easter,33,-0.03,0.67,0.74,0.79
easter-holiday,33,-0.03,0.67,0.83,0.67
easter-period,33,-0.03,0.67,0.80,0.71
east-fork,38,-0.14,0.48,0.56,0.85
east-midlands,24,-0.16,0.46,0.52,0.96
east-sea,24,-0.16,0.46,0.51,0.97
east-side,38,-0.14,0.48,0.59,0.96
easy,14,-0.13,0.58,0.60,0.90
eat,26,-0.14,0.56,0.56,0.96
ebb,28,-0.19,0.48,0.53,0.90
ebitda,13,-0.20,0.50,0.53,0.90
ebola,20,-0.14,0.55,0.54,0.87
ecodemonstrator,0,-0.11,0.56,0.51,0.97
eco-friendly,37,-0.11,0.58,0.56,0.95
ecological,19,-0.17,0.51,0.53,0.96
e-commerce,19,-0.17,0.51,0.57,0.97
ecommerce,19,-0.17,0.51,0.57,0.94
e-commerce-boom,6,-0.14,0.54,0.64,0.86
e-commerce-industry,10,-0.19,0.51,0.63,0.89
e-commerce-market,10,-0.19,0.51,0.65,0.86
economic,19,-0.17,0.51,0.51,0.95
economic-activity,6,-0.14,0.54,0.77,0.86
economical,21,-0.18,0.50,0.63,0.89
economic-analyst,31,-0.17,0.48,0.51,0.89
economic-contraction,6,-0.14,0.54,0.64,0.97
economic-crisis,20,-0.14,0.55,0.67,0.88
economic-development,19,-0.17,0.51,0.57,0.94
economic-downturn,20,-0.14,0.55,0.69,0.92
economic-emergency,20,-0.14,0.55,0.54,0.93
economic-growth,6,-0.14,0.54,0.72,0.88
economic-outlook,6,-0.14,0.54,0.61,0.93
economic-partnership,24,-0.16,0.46,0.56,0.93
economic-powerhouse,24,-0.16,0.46,0.50,0.98
economic-rebound,6,-0.14,0.54,0.70,0.87
economic-recession,20,-0.14,0.55,0.67,0.92
economic-recovery,6,-0.14,0.54,0.70,0.90
economic-region,24,-0.16,0.46,0.68,0.81
economic-shutdown,20,-0.14,0.55,0.71,0.83
economic-slowdown,20,-0.14,0.55,0.64,0.99
economic-stimulus,6,-0.14,0.54,0.51,0.94
economist,31,-0.17,0.48,0.53,0.93
economy,6,-0.14,0.54,0.65,0.94
economy-class,17,-0.17,0.48,0.56,0.98
economy-class-seat,11,-0.18,0.46,0.55,0.90
economy-recovery,6,-0.14,0.54,0.64,0.85
economy-reopening,6,-0.14,0.54,0.51,0.94
ecosystem,19,-0.17,0.51,0.71,0.83
ecotourism,24,-0.16,0.46,0.58,0.93
edelweiss,15,-0.18,0.43,0.54,0.87
editor,31,-0.17,0.48,0.55,0.93
educate,26,-0.14,0.56,0.53,0.92
education,19,-0.17,0.51,0.59,0.91
efb,4,-0.17,0.43,0.50,0.92
effective,21,-0.18,0.50,0.64,0.85
effective-communication,19,-0.17,0.51,0.57,0.86
efficiency,19,-0.17,0.51,0.69,0.90
efficient,21,-0.18,0.50,0.65,0.95
efficient-aircraft,37,-0.11,0.58,0.52,1.00
efficient-lighting,37,-0.11,0.58,0.57,0.92
efficient-management,19,-0.17,0.51,0.55,0.95
efficient-transport,37,-0.11,0.58,0.57,0.97
efficient-transportation,35,-0.17,0.47,0.51,0.98
egg,12,-0.15,0.52,0.58,0.91
egregious,32,-0.17,0.52,0.60,0.84
egyptian,30,-0.13,0.56,0.72,0.80
eid,33,-0.03,0.67,0.61,0.93
eid-holiday,33,-0.03,0.67,0.66,0.91
eid-ul-azha,33,-0.03,0.67,0.61,0.95
eject,26,-0.14,0.56,0.57,0.91
el,38,-0.14,0.48,0.53,0.93
