keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
capacitor,12,-0.15,0.52,0.66,0.88
capacity-building,19,-0.17,0.51,0.60,0.94
capacity-crunch,20,-0.14,0.55,0.59,0.94
capacity-reduction,25,-0.18,0.39,0.61,0.94
cape-air,36,-0.10,0.57,0.75,0.73
cape-canaveral,38,-0.14,0.48,0.56,0.98
capillary,12,-0.15,0.52,0.61,0.89
capital-flight,20,-0.14,0.55,0.51,0.99
capitalise,26,-0.14,0.56,0.55,0.89
capitalize,26,-0.14,0.56,0.57,0.90
capital-spending,6,-0.14,0.54,0.60,0.95
capt,31,-0.17,0.48,0.62,0.89
captain,34,-0.17,0.50,0.68,0.88
capture,26,-0.14,0.56,0.66,0.79
car,9,-0.15,0.55,0.80,0.81
caravan,34,-0.17,0.50,0.64,0.92
carbon,37,-0.11,0.58,0.77,0.80
carbon-dioxide,37,-0.11,0.58,0.72,0.86
carbon-dioxide-emission,37,-0.11,0.58,0.66,0.83
carbon-emission,37,-0.11,0.58,0.79,0.69
carbon-emissions,37,-0.11,0.58,0.82,0.76
carbon-fiber,12,-0.15,0.52,0.65,0.88
carbon-fiber-market,10,-0.19,0.51,0.67,0.76
carbon-footprint,37,-0.11,0.58,0.70,0.84
carbon-intensity,37,-0.11,0.58,0.71,0.77
carbon-intensive,37,-0.11,0.58,0.56,0.90
carbon-market,37,-0.11,0.58,0.54,0.94
carbon-neutral,37,-0.11,0.58,0.51,0.90
carbon-neutrality,37,-0.11,0.58,0.57,0.89
carbon-offsetting,37,-0.11,0.58,0.60,0.91
carbon-pollution,37,-0.11,0.58,0.70,0.78
card,9,-0.15,0.55,0.63,0.91
cardholder,5,-0.19,0.44,0.56,0.95
card-spending,6,-0.14,0.54,0.55,0.96
careful,32,-0.17,0.52,0.54,0.98
caretaker,31,-0.17,0.48,0.54,0.99
cargo,0,-0.11,0.56,0.58,0.99
cargo-aircraft,36,-0.10,0.57,0.66,0.98
cargo-airline,36,-0.10,0.57,0.67,0.87
cargo-business,6,-0.14,0.54,0.58,0.97
cargo-carrier,36,-0.10,0.57,0.67,0.90
cargo-facility,38,-0.14,0.48,0.51,0.95
cargo-fleet,36,-0.10,0.57,0.63,0.86
cargo-flight,36,-0.10,0.57,0.59,0.96
